id,author,author_type,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,district,street,underground,residential_complex,price
246,Sminex,developer,Москва,sale,flat,24,26,1,24.9,Марфино, Академика Королева,Бутырская,Дом Достижение,17.37
247,ID 104795526,official_representative,Санкт-Петербург,sale,flat,4,4,3,55.3,Красносельский,Стрельнинское шоссе,Проспект Ветеранов,,7.9079
248,GloraX,developer,Санкт-Петербург,sale,flat,11,15,3,72.04,Выборгский,,,Глоракс Парголово ЖК,12.739999
249,MR Group,developer,Москва,sale,flat,20,37,1,39.6,Беговой,Ленинградский проспект,Белорусская,Slava,29.053268
250,Космополис,real_estate_agent,Москва,sale,flat,2,9,3,58.3,Отрадное,Алтуфьевское шоссе,,,12.999999
251,Гранит Инвест,real_estate_agent,Санкт-Петербург,sale,flat,7,11,2,60.2,Адмиралтейский,Московский проспект,Фрунзенская,Новомосковский,21.672
252,Whitewill,real_estate_agent,Москва,sale,flat,28,46,4,95.3,Даниловский,Дубининская ,Серпуховская,Павелецкая Сити,43.95
253,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,13,16,-1,493.0,Якиманка,Якиманский переулок,Октябрьская,Имперский дом,1541.264199
254,Винидиктов и Партнеры,real_estate_agent,Москва,sale,flat,14,17,3,118.4,Арбат, Новый Арбат,Смоленская,,85.0
255,BEYOND. ex-Engel  Volkers,real_estate_agent,Санкт-Петербург,sale,flat,2,5,3,216.4,Петроградский,набережная Гребного канала,Крестовский остров,"Комплекс резиденций ""Императорский Яхтъ-клуб""",207.531061
256,Гранит Инвест,real_estate_agent,Санкт-Петербург,sale,flat,5,13,2,76.6,Петроградский,Барочная ,Чкаловская,,30.257
257,Гранит Инвест,real_estate_agent,Санкт-Петербург,sale,flat,5,8,3,111.8,Петроградский, Графтио,Петроградская,,37.453
258,BARNES International Realty,real_estate_agent,Москва,sale,flat,4,12,4,148.7,Аэропорт,Ленинградский проспект,Петровский Парк,ВТБ Арена парк,96.0
259,MR Group,developer,Москва,sale,flat,2,54,1,36.06,Хорошево-Мневники, Мневники,Полежаевская,JOIS,20.713585
260,Петербургская Строительная Компания,developer,Санкт-Петербург,sale,flat,3,9,1,54.68,Центральный,проспект Бакунина,Площадь Александра Невского,Bakunina 33,21.510637
261,Whitewill,real_estate_agent,Москва,sale,flat,3,8,5,222.0,Раменки,Мосфильмовская ,Ломоносовский проспект,Вишневый сад,270.0
262,Сенатор,developer,Санкт-Петербург,sale,flat,2,8,3,88.4,Курортный, Правды,,Мариоки,13.31
263,MR Group,developer,Москва,sale,flat,29,29,3,83.4,Южнопортовый,Волгоградский проспект,Угрешская,Метрополия,34.204046
264,Наталия Тоцкая,realtor,Санкт-Петербург,sale,flat,5,11,1,41.7,Московский,Детский переулок,Московские ворота,Апарт-комплекс М97,9.69
265,ID 70820121,homeowner,Санкт-Петербург,sale,flat,10,12,1,25.81,Пушкинский,Ленсоветовский тер.,,Полет,3.1
266,TimeProperty,real_estate_agent,Москва,sale,flat,8,14,4,172.0,Таганский,Тетеринский переулок,Таганская,Шоколад,210.0
267,BEYOND. ex-Engel  Volkers,real_estate_agent,Санкт-Петербург,sale,flat,7,7,5,363.0,Петроградский,Динамовская ,,,350.0
268,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,5,9,2,73.2,Петроградский,Петровский проспект,Спортивная,Neva Haus,23.29224
269,РГ-Девелопмент,developer,Москва,sale,flat,2,18,2,66.5,Соколиная гора,,Соколиная гора,Семеновский Парк 2 ЖК,18.38725
270,SHOW ME,real_estate_agent,Москва,sale,flat,37,37,-1,135.3,Хорошевский,Ленинградский проспект,Аэропорт,Прайм Парк,125.0
271,Терминал-Ресурс,developer,Санкт-Петербург,sale,flat,2,4,1,28.71,Пушкинский,,Купчино,Образцовый квартал 14 ЖК,5.08167
272,ХочуКвартиру,real_estate_agent,Санкт-Петербург,sale,flat,12,24,-1,21.29,Невский,проспект Большевиков,Улица Дыбенко,Про.Молодость,3.65
273,MHEstate - Элитная недвижимость,real_estate_agent,Москва,sale,flat,10,14,5,170.0,Раменки,проспект Генерала Дорохова,Минская,Собрание клубных домов West Garden,120.0
274,Петербургская Строительная Компания,developer,Санкт-Петербург,sale,flat,3,7,1,37.9,Петроградский,набережная Реки Карповки,Петроградская,Северная Корона,17.434
275,BRIGHT ESTATE - городская недвижимость,real_estate_agent,Москва,sale,flat,9,14,3,67.0,Раменки,проспект Генерала Дорохова,,Собрание клубных домов West Garden,38.0
276,Монолит,developer,Санкт-Петербург,sale,flat,2,15,-1,26.9,Невский, Евдокима Огнева,Улица Дыбенко,WINGS апартаменты на Крыленко,5.454366
277,Этажи Москва,real_estate_agent,Москва,sale,flat,13,18,2,68.3,, Ленина,Рассказовка,,13.85
278,Винидиктов и Партнеры,real_estate_agent,Москва,sale,flat,14,27,3,88.9,Хорошевский, Зорге,Полежаевская,Рихард,44.49
279,NF GROUP  St Petersburg,real_estate_agent,Санкт-Петербург,sale,flat,2,7,3,107.2,Центральный,Большая Морская ,Адмиралтейская,,80.0
280,Sminex,developer,Москва,sale,flat,2,14,2,85.6,Якиманка,,Новокузнецкая,Лаврушинский ЖК,156.75
281,Концерн КРОСТ,developer,Москва,sale,flat,4,19,3,83.3,Щукино, Расплетина,Октябрьское поле,Театральный квартал,34.986
282,Locus Realty,real_estate_agent,Москва,sale,flat,1,5,1,15.5,Кузьминки,Окская ,Окская,My Space на Окской,4.805
283,МЕТРЫ,real_estate_agent,Санкт-Петербург,sale,flat,2,5,1,18.2,Центральный,Гончарная ,Площадь Восстания,,5.65
284,Донстрой,developer,Москва,sale,flat,2,22,2,58.1,Хорошево-Мневники,проезд Проектируемый № 1074,Терехово ,Остров,28.83503
285,RMRealty,real_estate_agent,Москва,sale,flat,3,6,3,128.0,Хамовники,переулок Хилков,Парк Культуры,Особняк в Хилковом переулке,189.0
286,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,2,4,3,137.9,Хамовники,Пречистенская набережная,Парк Культуры,Кленовый DOM,296.485
287,Ленстройтрест,developer,Санкт-Петербург,sale,flat,1,7,2,45.73,Приморский,шоссе Суздальское,Проспект Просвещения,Окла,10.5542
288,GRAVION,developer,Москва,sale,flat,2,9,-1,26.9,Якиманка,Ленинский проспект,Октябрьская,Клубный дом CULT,32.28
289,Андрей Косухин,realtor,Москва,sale,flat,29,34,2,42.5,Южное Бутово, Поляны,Улица Скобелевская,Столичные поляны,12.8
290,Ramenky Realty,real_estate_agent,Москва,sale,flat,4,6,3,170.0,Хамовники, Усачева,Спортивная,Садовые кварталы,180.0
291,Елена Минакова,realtor,Санкт-Петербург,sale,flat,6,9,3,57.0,Фрунзенский,Альпийский переулок,Проспект Славы,,10.4
292,Гранит Инвест,real_estate_agent,Санкт-Петербург,sale,flat,5,11,4,108.0,Приморский,Фермское шоссе,Удельная,Шведская крона,34.02
293,Трансстройинвест,representative_developer,Москва,sale,flat,3,8,1,62.7,Мещанский,Большой Кисельный переулок,Тургеневская,Frank's house,89.465815
294,Gethome,real_estate_agent,Москва,sale,flat,3,8,2,66.0,Раменки,Мосфильмовская ,Ломоносовский проспект,Вишневый сад,82.5
295,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,4,8,1,34.68,Петроградский,Ремесленная ,Спортивная,Neva Residence,14.70432
296,Петербургская Недвижимость,representative_developer,Санкт-Петербург,sale,flat,2,12,1,25.01,Приморский,Коломяги,Озерки,Прайм Приморский ЖК,6.000211
297,SHOW ME,real_estate_agent,Москва,sale,flat,5,6,5,370.0,Беговой, 3-я Ямского Поля,Белорусская,Art Residence,265.0
298,Whitewill,real_estate_agent,Москва,sale,flat,3,6,4,200.0,Арбат,переулок Плотников,Смоленская,,140.0
299,Euroinvest Development,developer,Санкт-Петербург,sale,flat,7,10,1,29.21,Выборгский, Курчатова,Политехническая,iD Polytech,9.6393
300,BARNES International Realty,real_estate_agent,Москва,sale,flat,5,8,3,87.0,Таганский,Серебрянический переулок,Китай-город,Титул на Серебрянической,99.5
301,ГлавстройСПб,developer,Санкт-Петербург,sale,flat,25,27,2,44.0,Выборгский,проезд Толубеевский,,Северная долина,9.760212
302,Forma,developer,Москва,sale,flat,2,29,1,28.5,Аэропорт,Часовая ,Сокол,SOUL,14.9796
303,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,9,9,-1,514.0,Раменки,Мосфильмовская ,Ломоносовский проспект,Вишневый сад,885.0
304,GloraX,developer,Санкт-Петербург,sale,flat,11,15,-1,21.39,Красногвардейский,переулок Уткин,,Апарт-отель GloraX Заневский,6.779999
305,Ольга Бормотова,realtor,Санкт-Петербург,sale,flat,4,5,3,68.0,Центральный, Марата,Владимирская,,18.7
306,BARNES International Realty,real_estate_agent,Москва,sale,flat,63,66,2,85.0,Пресненский,1-й Красногвардейский проезд,Тестовская,NEVA TOWERS,120.0
307,EXCLUSIVE CITY,real_estate_agent,Москва,sale,flat,34,65,3,118.2,Пресненский,Краснопресненская набережная,Выставочная,Capital Towers,130.0
308,LEGENDA Development,developer,Санкт-Петербург,sale,flat,4,10,2,53.98,Приморский,Лисичанская ,Черная речка,"Лисичанская, 22",20.631156
309,Kalinka Group,real_estate_agent,Москва,sale,flat,4,5,3,150.8,Пресненский,Леонтьевский переулок,Тверская,Леонтьевский 11,219.580001
310,РСТИ,developer,Санкт-Петербург,sale,flat,2,9,3,73.04,Красносельский, Тамбасова,Проспект Ветеранов,Кинопарк,15.685144
311,Центр-Инвест,developer,Москва,sale,flat,3,22,3,83.9,Красносельский,Большая Спасская ,Площадь трёх вокзалов,Dialog,49.881989
312,Boretskiy Realty Services,real_estate_agent,Санкт-Петербург,sale,flat,3,18,3,73.6,Красногвардейский, Даниила Хармса,Девяткино,Новая Охта,11.95
313,Whitewill,real_estate_agent,Москва,sale,flat,7,13,3,97.0,Хамовники, Усачева,Спортивная,Садовые кварталы,164.99
314,ТВОЁ ПРОСТРАНСТВО,real_estate_agent,Санкт-Петербург,sale,flat,5,12,1,31.0,Московский,Кузнецовская ,Бухарестская,,11.5
315,ЛюксДом,real_estate_agent,Москва,sale,flat,6,13,3,117.2,Дорогомилово,,Парк Победы,Виктори Парк Резиденсез ЖК,107.0
316,GloraX,developer,Санкт-Петербург,sale,flat,3,18,3,67.94,Василеостровский,Морской,,Глоракс Василеостровский ЖК,19.989999
317,ID 47105242,realtor,Москва,sale,flat,16,30,-1,203.0,Хорошево-Мневники,Карамышевская набережная,Народное Ополчение,,75.9
318,ЦАН,real_estate_agent,Москва,sale,flat,6,18,2,53.0,Останкинский,Березовая аллея,Ботанический сад,Апарт-комплекс Легендарный квартал,16.0
319,BEYOND. ex-Engel  Volkers,real_estate_agent,Санкт-Петербург,sale,flat,3,7,5,253.0,Петроградский,проспект Динамо,Крестовский остров,,192.508875
320,NIKA ESTATE,real_estate_agent,Москва,sale,flat,4,6,3,145.0,Пресненский,Большой Гнездниковский переулок,Пушкинская,Респект,167.0
321,Минские холмы,developer,Москва,sale,flat,11,52,2,51.2,Раменки,проспект Генерала Дорохова,Раменки,Will Towers,21.26731
322,Sminex,developer,Москва,sale,flat,2,14,3,142.1,Якиманка,,Новокузнецкая,Лаврушинский ЖК,277.8
323,Prime Life Development,developer,Москва,sale,flat,3,28,3,83.45,Нагатино-Садовники,Нагатинская ,Нагатинская,1-й Нагатинский,39.068609
324,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,14,17,3,169.5,Тверской,4-я Тверская-Ямская ,Маяковская,,161.0
325,BARNES International Realty,real_estate_agent,Москва,sale,flat,6,7,4,143.0,Басманный,Покровский бульвар,Чистые пруды,Резиденция на Покровском бульваре,135.0
326,ID 2878972,unknown,Москва,sale,flat,2,5,1,26.0,Москворечье-Сабурово,Каширское шоссе,Каширская,,7.05
327,Choice Estate,real_estate_agent,Москва,sale,flat,14,21,2,60.0,Пресненский,Лаки жилой квартал,Улица 1905 года,,63.463819
328,А101,developer,Москва,sale,flat,14,16,4,72.8,,,Бунинская аллея,Скандинавия ЖК,19.121679
329,Delight  Realty,real_estate_agent,Москва,sale,flat,6,8,4,131.2,Басманный, Маросейка,Китай-город,,64.2
330,Киноцентр,developer,Москва,sale,flat,4,20,1,58.6,Пресненский,,Краснопресненская,Скай Вью ЖК,48.290092
331,ID 22527112,homeowner,Санкт-Петербург,sale,flat,4,14,2,73.5,Московский,Черниговская ,Фрунзенская,Квартал Che,17.1
332,Gethome,real_estate_agent,Москва,sale,flat,3,8,3,111.0,Раменки,Мосфильмовская ,Ломоносовский проспект,Вишневый сад,133.0
333,Kalinka Group,real_estate_agent,Москва,sale,flat,9,32,4,189.2,Щукино,Авиационная ,Щукинская,Алые Паруса,85.0
334,NF GROUP  St Petersburg,real_estate_agent,Санкт-Петербург,sale,flat,4,8,2,70.0,Петроградский,Петровский проспект,Крестовский остров,Familia,28.9
335,ХочуКвартиру,real_estate_agent,Санкт-Петербург,sale,flat,5,8,1,46.8,Петроградский,набережная Реки Карповки,Петроградская,Клубный дом MELTZER HALL,21.0
336,Петербургская Недвижимость,representative_developer,Санкт-Петербург,sale,flat,3,12,2,50.14,Московский,Новоизмайловское,,Титул в Московском,13.700303
337,Лидер Групп,developer,Санкт-Петербург,sale,flat,17,23,1,47.35,Московский,Гагаринское,,Дефанс ЖК,14.91525
338,Андрей Сурмай,realtor,Санкт-Петербург,sale,flat,23,27,2,44.2,Выборгский,Заречная ,Парнас,Северная долина,8.5
339,Вторичка Групп,real_estate_agent,Санкт-Петербург,sale,flat,1,5,1,20.61,Адмиралтейский,набережная Реки Фонтанки,Садовая,,3.69
340,Point Estate Город,real_estate_agent,Москва,sale,flat,5,15,2,90.0,Хамовники, Усачева,Спортивная,Садовые кварталы,99.0
341,ID 86900871,realtor,Москва,sale,flat,2,6,1,67.4,Басманный,Потаповский переулок,Чистые пруды,Абрикосов,99.999
342,Contact Real Estate,real_estate_agent,Москва,sale,flat,11,21,3,95.0,Пресненский,2-я Звенигородская ,Улица 1905 года,Lucky,100.0
343,Строительная компания МЕТРЫ,realtor,Санкт-Петербург,sale,flat,3,6,1,26.8,Центральный, Марата,Владимирская,,7.0
344,Sminex,developer,Москва,sale,flat,3,6,2,120.3,Басманный,Потаповский переулок,Чистые пруды,Чистые Пруды,217.97
345,BY Moscow City,real_estate_agent,Москва,sale,flat,45,75,3,220.0,Пресненский,набережная Пресненская,Деловой центр,Город Столиц,97.0
346,ID 28311522,realtor,Санкт-Петербург,sale,flat,13,13,2,55.0,Красногвардейский,Пискаревский проспект,Площадь Ленина,Четыре горизонта,24.0
347,ID 88401532,homeowner,Санкт-Петербург,sale,flat,24,24,3,72.11,Приморский,Парашютная ,Комендантский проспект,Граффити,14.3
348,Verges of estate,real_estate_agent,Москва,sale,flat,5,10,-1,379.0,Раменки,Минская ,Минская,Снегири Эко,417.45
349,Sminex,developer,Москва,sale,flat,2,21,3,99.7,Пресненский,,Улица 1905 года,Лайф Тайм ЖК,69.43
350,BEYOND. ex-Engel  Volkers,real_estate_agent,Санкт-Петербург,sale,flat,1,5,4,178.5,Петроградский,Чкаловское,,,105.0
351,Kalinka Group,real_estate_agent,Москва,sale,flat,2,7,3,151.3,Хамовники, Плющиха,Киевская,Клубный дом Bunin,290.0
352,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,7,25,1,34.72,Красногвардейский,м. Гражданский проспект,Гражданский проспект,Ручьи ЖК,6.12808
353,Absolute Premium,developer,Москва,sale,flat,4,17,2,49.8,Хамовники,,Воробьёвы горы,Коллекция Лужники ЖК,50.005
354,Whitewill,real_estate_agent,Москва,sale,flat,13,25,3,88.4,Очаково-Матвеевское,Нежинская ,Минская,Городские резиденции SPIRES,88.0
355,Устиния Кит,realtor,Санкт-Петербург,sale,flat,1,6,3,68.4,Пушкинский,Ленинградская ,Шушары,,11.0
356,CENTURY 21,real_estate_agent,Москва,sale,flat,9,10,4,100.4,Москворечье-Сабурово,переулок 1-й Котляковский,Варшавская,LIFE Варшавская,30.0
357,Андрей Куролесов,realtor,Москва,sale,flat,1,5,1,15.6,Восточное Измайлово,14-я Парковая ,Первомайская,,4.4
358,BARNES International Realty,real_estate_agent,Москва,sale,flat,3,5,3,110.0,Пресненский,Большой Тишинский переулок,Улица 1905 года,Fantastic House,119.0
359,Александр Андреев,realtor,Санкт-Петербург,sale,flat,9,11,4,248.0,Петроградский,Ждановская ,Спортивная,Леонтьевский мыс,300.0
360,Kalinka Group,real_estate_agent,Москва,sale,flat,10,34,2,64.4,Дорогомилово,Поклонная ,Поклонная,Поклонная 9,48.0
361,Правит,real_estate_agent,Москва,sale,flat,19,40,3,80.0,Кунцево,Рублевское шоссе,Молодёжная,Рублевские Огни,39.5
362,Point Estate Город,real_estate_agent,Москва,sale,flat,11,14,3,70.0,Раменки,проспект Генерала Дорохова,Минская,Собрание клубных домов West Garden,42.0
363,Андрей Сурмай,realtor,Санкт-Петербург,sale,flat,8,12,1,24.4,Приморский,проспект Юнтоловский,Беговая,Юнтолово,4.59
364,А101,developer,Москва,sale,flat,9,16,3,61.2,,,Филатов Луг,Деснаречье ЖК,11.786235
365,Sminex,developer,Москва,sale,flat,3,5,3,112.4,Тверской,,Площадь Революции,Ильинка 3/8 ЖК,248.82
366,do A.S.A.P.,real_estate_agent,Москва,sale,flat,8,31,2,69.9,Можайский, Петра Алексеева,Давыдково,КутузовGRAD II,29.0
367,Ленстройтрест,developer,Санкт-Петербург,sale,flat,1,5,1,42.86,Колпинский,шоссе Рубежное,Рыбацкое,Юттери,7.45736
368,Euroinvest Development,developer,Санкт-Петербург,sale,flat,4,10,3,94.12,Московский,Московский проспект,Фрунзенская,ID Moskovskiy,34.8244
369,Verges of estate,real_estate_agent,Москва,sale,flat,36,44,5,165.0,Раменки,Минская ,Минская,Долина Сетунь,147.0
370,САДОВЫЕ КВАРТАЛЫ. Офис продаж,real_estate_agent,Москва,sale,flat,7,14,2,78.0,Хамовники, Ефремова,Фрунзенская,Садовые кварталы,110.0
371,MR Group,developer,Москва,sale,flat,3,36,1,28.9,Беговой,Ленинградский проспект,Белорусская,Slava,21.622071
372,Минские холмы,developer,Москва,sale,flat,28,52,3,84.2,Раменки,проспект Генерала Дорохова,Раменки,Will Towers,34.869133
373,Level Group,developer,Москва,sale,flat,28,37,3,64.5,Нижегородский,,Нижегородская,Левел Нижегородская ЖК,18.470589
374,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,2,6,5,192.3,Тверской,Дегтярный переулок,Маяковская,,120.0
375,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,8,16,1,42.17,Василеостровский,Гавань,Приморская,Морская Набережная ЖК,12.18713
376,Verges of estate,real_estate_agent,Москва,sale,flat,1,21,5,282.0,Раменки,Минская ,Ломоносовский проспект,Золотые Ключи 2,135.0
377,Delight  Realty,real_estate_agent,Москва,sale,flat,3,7,3,163.0,Хамовники,Сеченовский переулок,Парк Культуры,Light House,240.0
378,Unique,real_estate_agent,Москва,sale,flat,14,25,4,105.2,Нагатино-Садовники,Нагатинская набережная,Коломенская,,31.0
379,Ирина Романова,realtor,Санкт-Петербург,sale,flat,1,10,4,90.0,Невский,проспект Большевиков,Улица Дыбенко,,11.9
380,ФСК Агент,real_estate_agent,Москва,sale,flat,5,7,3,75.33,, Медовая Долина,Рассказовка,Баркли Медовая долина,12.3
381,NIKA ESTATE,real_estate_agent,Москва,sale,flat,7,7,5,332.0,Хамовники, Остоженка,Кропоткинская,,190.0
382,Vysotsky Estate,real_estate_agent,Москва,sale,flat,1,4,3,75.0,Академический, Винокурова,Академическая,,19.9
383,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,4,12,4,212.0,Пресненский,Шведский тупик,Тверская,,340.0
384,Арсенал-Недвижимость,developer,Санкт-Петербург,sale,flat,8,12,1,38.06,Приморский,проспект Авиаконструкторов,Комендантский проспект,Modum,10.995534
385,Доступная Недвижимость. 8 отдел,real_estate_agent,Москва,sale,flat,3,13,3,68.6,Раменки,Винницкая ,Раменки,Настоящее,34.0
386,ID 78539987,homeowner,Москва,sale,flat,1,7,1,49.0,Обручевский, Саморы Машела,Юго-Западная,,17.99
387,Level Group,developer,Москва,sale,flat,3,37,2,37.5,Нижегородский,,Нижегородская,Левел Нижегородская ЖК,11.563068
388,ID 35684254,realtor,Москва,sale,flat,26,37,3,77.3,Раменки,Мосфильмовская ,Аминьевская,Огни,38.95
389,Msk Estate,real_estate_agent,Москва,sale,flat,1,4,-1,27.7,Преображенское,Суворовская ,Преображенская площадь,,8.86677
390,Intermark Real Estate,real_estate_agent,Москва,sale,flat,4,7,4,200.9,Хамовники,Колымажный переулок,Кропоткинская,Колымажный 10,290.0
391,ID 64711632,homeowner,Москва,sale,flat,3,13,2,82.5,Хорошево-Мневники, Нижние Мневники,Терехово ,Остров,36.8
392,ЛюксДом,real_estate_agent,Москва,sale,flat,68,73,4,253.0,Пресненский,набережная Пресненская,Международная,Город Столиц,550.0
393,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,4,5,3,73.7,Мещанский,Большой Сергиевский переулок,Трубная,,72.530079
394,TimeProperty,real_estate_agent,Москва,sale,flat,6,6,4,169.0,Пресненский,Мерзляковский переулок,Арбатская,,90.0
395,Kalinka Group,real_estate_agent,Москва,sale,flat,7,8,3,138.5,Арбат,Кривоарбатский переулок,Смоленская,,126.65
396,Kalinka Group,real_estate_agent,Москва,sale,flat,13,44,3,110.0,Раменки,Минская ,Минская,Долина Сетунь,85.0
397,COLDY,developer,Москва,sale,flat,-1,-1,-1,202.0,Хамовники,переулок 1-й Тружеников,Киевская,Хамовники 12,303.725598
398,Kalinka Group,real_estate_agent,Москва,sale,flat,21,35,5,280.0,Обручевский, Воронцовские Пруды,Калужская,Воронцово,130.0
399,Ленстройтрест,developer,Санкт-Петербург,sale,flat,5,8,1,42.5,Приморский,Коломяги,Проспект Просвещения,Окла ЖК,9.88175
400,LEGENDA Intelligent Development,developer,Санкт-Петербург,sale,flat,3,10,3,78.33,Выборгский,Сампсониевское,Выборгская,Сампсониевский 32,25.14393
401,Regions Development,developer,Москва,sale,flat,2,23,3,97.2,Нагатинский затон,,Технопарк,Дрим Тауэрс ЖК,41.675869
402,Концерн КРОСТ,developer,Москва,sale,flat,3,19,2,59.6,Щукино, Ротмистрова,Октябрьское поле,Театральный квартал,29.6212
403,ФСК Агент,real_estate_agent,Москва,sale,flat,3,9,3,51.0,Новогиреево, Алексея Дикого,Новогиреево,,15.5
404,Этажи Москва,real_estate_agent,Москва,sale,flat,1,9,5,83.4,Сокольники, 3-я Сокольническая,Красносельская,,32.5
405,LEGENDA Intelligent Development,developer,Санкт-Петербург,sale,flat,3,20,2,124.4,Выборгский,аллея Академика Лихачева,Площадь Мужества,"Институтский, 16",40.19364
406,GloraX,developer,Санкт-Петербург,sale,flat,5,19,1,37.48,Василеостровский,Морской,,Глоракс Премиум Василеостровский ЖК,11.259999
407,Князев и Партнёры,real_estate_agent,Москва,sale,flat,4,15,2,60.8,Хамовники, Усачева,Спортивная,Садовые кварталы,85.0
408,ID 104795526,official_representative,Санкт-Петербург,sale,flat,2,4,1,31.0,Красносельский,Стрельнинское шоссе,Проспект Ветеранов,,5.15375
409,Verges of estate,real_estate_agent,Москва,sale,flat,3,12,3,73.0,Раменки,проспект Генерала Дорохова,Минская,Собрание клубных домов West Garden,47.0
410,Наиля Ахунова,realtor,Санкт-Петербург,sale,flat,7,7,4,237.4,Петроградский,проезд Петровская коса,Крестовский остров,Петровская Доминанта,144.2754
411,BEYOND. ex-Engel  Volkers,real_estate_agent,Санкт-Петербург,sale,flat,5,5,-1,330.0,Петроградский, Блохина,,,145.0
412,ID 48597947,unknown,Санкт-Петербург,sale,flat,17,26,2,50.3,Приморский, Верхне-Каменская,Комендантский проспект,Чистое небо,10.79
413,Contact Real Estate,real_estate_agent,Москва,sale,flat,5,7,4,180.0,Хамовники, Плющиха,Смоленская,,330.0
414,Verges of estate,real_estate_agent,Москва,sale,flat,1,9,5,201.6,Хамовники, Ефремова,,Knightsbridge Private Park,400.0
415,MR Group,developer,Москва,sale,flat,2,57,3,79.23,Филевский парк,,Фили,Фили Сити ЖК,40.424357
416,SHOW ME,real_estate_agent,Москва,sale,flat,10,10,-1,239.9,Тверской, Палиха,Менделеевская,Клубный дом Maison Rouge,215.9
417,SHOW ME,real_estate_agent,Москва,sale,flat,4,6,-1,190.0,Беговой, 3-я Ямского Поля,Белорусская,Art Residence,90.0
418,Винидиктов и Партнеры,real_estate_agent,Москва,sale,flat,3,12,4,117.3,Замоскворечье,Мытная ,Добрынинская,Английский квартал,76.0
419,Gethome,real_estate_agent,Москва,sale,flat,36,44,5,161.0,Раменки,Минская ,Минская,Долина Сетунь,147.0
420,Петербургская Недвижимость,representative_developer,Санкт-Петербург,sale,flat,2,10,1,41.0,Приморский,проспект Авиаконструкторов,Комендантский проспект,Чистое небо,10.050043
421,Инна Орлова,realtor,Санкт-Петербург,sale,flat,6,16,1,38.8,Красносельский, Маршала Захарова,Проспект Ветеранов,,6.25
422,MR Group,developer,Москва,sale,flat,2,11,2,76.41,Филевский парк,,Фили,Фили Сити ЖК,42.7151
423,Метриум-Премиум Городская недвижимость,real_estate_agent,Москва,sale,flat,4,6,5,240.6,Раменки,Минская ,Минская,Снегири Эко,245.19
424,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,7,20,-1,203.6,Щукино, Маршала Соколовского,Октябрьское поле,,91.0
425,Euroinvest Development,developer,Санкт-Петербург,sale,flat,2,12,3,75.03,Выборгский,Светлановское,Удельная,ID Svetlanovskiy,19.577578
426,NF GROUP  St Petersburg,real_estate_agent,Санкт-Петербург,sale,flat,4,6,4,127.6,Петроградский,Петровский проспект,Спортивная,"Элитный комплекс ""ROYAL PARK""",67.0
427,Whitewill,real_estate_agent,Москва,sale,flat,10,37,4,112.8,Хорошевский,Ленинградский проспект,Аэропорт,Прайм Парк,110.0
428,AAG,developer,Санкт-Петербург,sale,flat,6,9,1,27.62,Красногвардейский, Помяловского,Новочеркасская,Akzent,11.213489
429,Татьяна Гребнева,realtor,Санкт-Петербург,sale,flat,5,15,2,57.3,Красногвардейский,Магнитогорская ,Новочеркасская,Magnifika Lifestyle,24.5
430,Велесстрой,developer,Москва,sale,flat,15,24,3,103.7,Фили-Давыдково,Кастанаевская ,Кунцевская,Shome,43.19105
431,Концерн КРОСТ,developer,Москва,sale,flat,14,19,1,29.0,Щукино, Ротмистрова,Октябрьское поле,Театральный квартал,19.459
432,Euroinvest Development,developer,Санкт-Петербург,sale,flat,7,12,1,40.02,Выборгский,Светлановское,Удельная,ID Svetlanovskiy,11.296445
433,SHOW ME,real_estate_agent,Москва,sale,flat,3,6,-1,119.0,Беговой, 3-я Ямского Поля,Белорусская,Art Residence,67.0
434,ID 7479168,homeowner,Санкт-Петербург,sale,flat,3,13,1,43.0,Красногвардейский,Пискаревский проспект,,Четыре горизонта,16.3
435,Группа Аквилон,developer,Санкт-Петербург,sale,flat,3,12,2,54.38,Московский,Звёздное,Звездная,Триумф Парк ЖК,12.776978
436,NF GROUP  St Petersburg,real_estate_agent,Санкт-Петербург,sale,flat,2,7,2,69.9,Адмиралтейский,Галерная ,Адмиралтейская,Голландия,20.131
437,Группа Аквилон,developer,Москва,sale,flat,11,28,2,74.1,Хорошевский,,Зорге,Инди Тауэрс ЖК,35.288394
438,Forma,developer,Москва,sale,flat,2,8,2,72.3,Аэропорт,Часовая ,Сокол,SOUL,35.76681
439,Intermark Real Estate,real_estate_agent,Москва,sale,flat,7,10,4,201.0,Аэропорт,Ленинградский проспект,Динамо,ВТБ Арена парк,140.0
